"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [kHz]","L_Leak [nH]","L_cm [mH]"
0.0102,0.0103,0.0226,110,1.024,100,596.080448373383,2.72476290120468
0.0102,0.0103,0.0226,110,1.024,350,568.453025735066,1.414727304871
0.0185,0.0225,0.0431,110,2.305,100,985.845515042324,4.08793517270398
0.0185,0.0225,0.0431,110,2.305,350,971.283096452229,2.12250333071347
0.0185,0.0287,0.0431,110,2.906,100,931.801730836068,2.55729199051829
0.0185,0.0287,0.0431,110,2.906,350,922.898328353214,1.32777989284514
0.021,0.025,0.0576,110,2.588,100,1176.14581093295,5.95849075331071
0.021,0.025,0.0576,110,2.588,350,1161.82501492605,3.09371535500005
0.0262,0.0368,0.0645,110,3.665,100,1391.29472183344,4.99812372639284
0.0262,0.0368,0.0645,110,3.665,350,1384.33311721533,2.59508621492467
0.0266,0.036,0.0653,110,3.665,100,1399.11712206789,5.38464336328206
0.0266,0.036,0.0653,110,3.665,350,1391.89166693916,2.79577091385602
0.0296,0.075,0.1055,100,3.665,100,2355.87660163583,3.43358815636811
0.0296,0.075,0.1055,100,3.665,350,2352.86888245903,1.78279289819731
0.0296,0.075,0.1055,110,2.906,100,2289.70129383608,3.43356665940442
0.0296,0.075,0.1055,110,2.906,350,2285.7249271228,1.78277267731154
0.0296,0.075,0.1055,110,3.264,100,2233.8990733388,3.43356362487951
0.0296,0.075,0.1055,110,3.264,350,2230.49704544438,1.78276895617275
0.0296,0.075,0.1055,110,3.665,100,2174.07927380234,3.43356065547954
0.0296,0.075,0.1055,110,3.665,350,2171.23321297967,1.78276571357597
0.0296,0.075,0.1055,110,4.115,100,2107.95936852077,3.43366326446942
0.0296,0.075,0.1055,110,4.115,350,2105.590886579,1.7828168667336
