"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0102,0.0103,0.0226,110,1.024,0.0001,596.080448373383,2724762.90120468
0.0102,0.0103,0.0226,110,1.024,0.00035,568.453025735066,1414727.304871
0.0185,0.0225,0.0431,110,2.305,0.0001,985.845515042324,4087935.17270398
0.0185,0.0225,0.0431,110,2.305,0.00035,971.283096452229,2122503.33071347
0.0185,0.0287,0.0431,110,2.906,0.0001,931.801730836068,2557291.99051829
0.0185,0.0287,0.0431,110,2.906,0.00035,922.898328353214,1327779.89284514
0.021,0.025,0.0576,110,2.588,0.0001,1176.14581093295,5958490.75331071
0.021,0.025,0.0576,110,2.588,0.00035,1161.82501492605,3093715.35500005
0.0262,0.0368,0.0645,110,3.665,0.0001,1391.29472183344,4998123.72639284
0.0262,0.0368,0.0645,110,3.665,0.00035,1384.33311721533,2595086.21492467
0.0266,0.036,0.0653,110,3.665,0.0001,1399.11712206789,5384643.36328206
0.0266,0.036,0.0653,110,3.665,0.00035,1391.89166693916,2795770.91385602
0.0296,0.075,0.1055,50,2.906,0.0001,3643.15336930448,3433974.09941576
0.0296,0.075,0.1055,50,2.906,0.00035,3636.57587050559,1783179.09854911
0.0296,0.075,0.1055,50,3.264,0.0001,3552.93545472908,3433963.59264034
0.0296,0.075,0.1055,50,3.264,0.00035,3547.04453112554,1783167.8670149
0.0296,0.075,0.1055,50,3.665,0.0001,3452.38022678047,3433951.22882391
0.0296,0.075,0.1055,50,3.665,0.00035,3446.78783629291,1783154.59287453
0.0296,0.075,0.1055,60,3.665,0.0001,3194.52720391382,3433857.86489553
0.0296,0.075,0.1055,60,3.665,0.00035,3190.27551914896,1783061.48570084
0.0296,0.075,0.1055,60,4.115,0.0001,3094.17099505758,3433962.44960452
0.0296,0.075,0.1055,60,4.115,0.00035,3090.15086833826,1783110.19137946
0.0296,0.075,0.1055,70,2.906,0.0001,3106.06764281859,3433782.64160533
0.0296,0.075,0.1055,70,2.906,0.00035,3101.15932672163,1782987.67105568
0.0296,0.075,0.1055,70,3.665,0.0001,2959.29520949189,3433768.89677231
0.0296,0.075,0.1055,70,3.665,0.00035,2955.56637532816,1782973.00051376
0.0296,0.075,0.1055,70,4.115,0.0001,2872.09696873065,3433785.55447456
0.0296,0.075,0.1055,70,4.115,0.00035,2868.79077445924,1782977.72362944
0.0296,0.075,0.1055,90,2.906,0.0001,2670.36836240206,3433640.20421945
0.0296,0.075,0.1055,90,2.906,0.00035,2666.19645385603,1782845.9828121
0.0296,0.075,0.1055,90,3.264,0.0001,2609.89029116441,3433635.9156666
0.0296,0.075,0.1055,90,3.264,0.00035,2606.26075650411,1782841.16397555
0.0296,0.075,0.1055,90,3.665,0.0001,2544.39809848126,3433632.25777924
0.0296,0.075,0.1055,90,3.665,0.00035,2541.32228216667,1782836.93725816
0.0296,0.075,0.1055,100,3.665,0.0001,2355.87660163583,3433588.15636811
0.0296,0.075,0.1055,100,3.665,0.00035,2352.86888245903,1782792.89819731
0.0296,0.075,0.1055,110,2.906,0.0001,2289.70129383608,3433566.65940442
0.0296,0.075,0.1055,110,2.906,0.00035,2285.7249271228,1782772.67731154
0.0296,0.075,0.1055,110,3.264,0.0001,2233.8990733388,3433563.62487951
0.0296,0.075,0.1055,110,3.264,0.00035,2230.49704544438,1782768.95617275
0.0296,0.075,0.1055,110,3.665,0.0001,2174.07927380234,3433560.65547954
0.0296,0.075,0.1055,110,3.665,0.00035,2171.23321297967,1782765.71357597
0.0296,0.075,0.1055,110,4.115,0.0001,2107.95936852077,3433663.26446942
0.0296,0.075,0.1055,110,4.115,0.00035,2105.590886579,1782816.8667336
