"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0182,0.0264,0.0483,110,1.828,0.0001,1789.96276165291,2381386.44192602
0.0182,0.0264,0.0483,110,1.828,0.00035,1771.56102567818,1661301.11026084
0.0185,0.0287,0.0431,110,2.053,0.0001,1696.44127099472,1629452.47160197
0.0185,0.0287,0.0431,110,2.053,0.00035,1679.35264945599,1136739.97258627
0.0234,0.0363,0.0535,90,2.305,0.0001,2643.30399868737,1966014.76753218
0.0234,0.0363,0.0535,90,2.305,0.00035,2627.46859972622,1371556.11587349
0.0234,0.0363,0.0535,110,2.305,0.0001,2231.10917209071,1965940.84515973
0.0234,0.0363,0.0535,110,2.305,0.00035,2217.31068983916,1371482.49568724
0.0234,0.0363,0.0535,110,2.588,0.0001,2126.10934455878,1965938.4084375
0.0234,0.0363,0.0535,110,2.588,0.00035,2112.59668456001,1371479.98180246
0.0241,0.0377,0.0575,90,2.305,0.0001,2790.9628479917,2203699.39434715
0.0241,0.0377,0.0575,90,2.305,0.00035,2776.20195508953,1537371.08056602
0.0241,0.0377,0.0575,90,2.588,0.0001,2673.38698568638,2203674.06489944
0.0241,0.0377,0.0575,90,2.588,0.00035,2657.79080437721,1537351.90149724
0.0241,0.0377,0.0575,110,2.305,0.0001,2360.70351609818,2203598.93256621
0.0241,0.0377,0.0575,110,2.305,0.00035,2348.12655448298,1537277.38010622
0.0241,0.0377,0.0575,110,2.588,0.0001,2255.2730441834,2203597.76480679
0.0241,0.0377,0.0575,110,2.588,0.00035,2242.28650538965,1537275.9416232
0.0247,0.0547,0.0954,70,2.588,0.0001,3982.94443669959,2976237.14472713
0.0247,0.0547,0.0954,70,2.588,0.00035,3971.66544544092,2076378.00047275
0.0247,0.0547,0.0954,70,2.906,0.0001,3856.89997142218,2976157.1371056
0.0247,0.0547,0.0954,70,2.906,0.00035,3845.69852525292,2076317.96474397
0.0247,0.0547,0.0954,90,2.588,0.0001,3403.98815847084,2975975.06794606
0.0247,0.0547,0.0954,90,2.588,0.00035,3395.03300596072,2076136.81325957
0.0247,0.0547,0.0954,90,2.906,0.0001,3303.42359865496,2975969.57399838
0.0247,0.0547,0.0954,90,2.906,0.00035,3295.30015591028,2076131.03121551
0.0247,0.0547,0.0954,90,3.264,0.0001,3187.61893779734,2975978.69457526
0.0247,0.0547,0.0954,90,3.264,0.00035,3180.03346916273,2076135.50233968
0.0247,0.0547,0.0954,90,3.665,0.0001,3051.04530962197,2975958.07148648
0.0247,0.0547,0.0954,90,3.665,0.00035,3043.62252605435,2076118.86180614
0.0247,0.0547,0.0954,110,2.588,0.0001,2895.52067621023,2975873.93154669
0.0247,0.0547,0.0954,110,2.588,0.00035,2887.32631715484,2076035.78541066
0.0247,0.0547,0.0954,110,2.906,0.0001,2804.19213881203,2975871.08900733
0.0247,0.0547,0.0954,110,2.906,0.00035,2796.92270876742,2076032.54023617
0.0247,0.0547,0.0954,110,3.264,0.0001,2699.91716740579,2975867.71471374
0.0247,0.0547,0.0954,110,3.264,0.00035,2693.11773960695,2076029.11166207
0.0247,0.0547,0.0954,110,3.665,0.0001,2579.44598271622,2975934.95078716
0.0247,0.0547,0.0954,110,3.665,0.00035,2573.20959553868,2076075.00744327
0.0247,0.0547,0.0954,110,4.115,0.0001,2435.51176753569,2975871.20614929
0.0247,0.0547,0.0954,110,4.115,0.00035,2429.60778017705,2076029.59203054
0.0255,0.0446,0.0858,70,2.305,0.0001,3970.95507818598,3614251.33879062
0.0255,0.0446,0.0858,70,2.305,0.00035,3954.72602471247,2521464.25227865
0.0255,0.0446,0.0858,90,2.305,0.0001,3396.43046895774,3614058.06911431
0.0255,0.0446,0.0858,90,2.305,0.00035,3384.01853826982,2521271.29964568
0.0255,0.0446,0.0858,90,2.588,0.0001,3286.73471734522,3614031.4192964
0.0255,0.0446,0.0858,90,2.588,0.00035,3274.94399474044,2521251.05177876
0.0255,0.0446,0.0858,90,2.906,0.0001,3159.39862414354,3614026.35694178
0.0255,0.0446,0.0858,90,2.906,0.00035,3148.0376599276,2521245.20206922
0.0255,0.0446,0.0858,110,2.305,0.0001,2885.14491543192,3613979.13781925
0.0255,0.0446,0.0858,110,2.305,0.00035,2873.83811271594,2521186.03895906
0.0255,0.0446,0.0858,110,2.588,0.0001,2787.16919999421,3613932.48717446
0.0255,0.0446,0.0858,110,2.588,0.00035,2776.45244346946,2521152.00137456
0.0255,0.0446,0.0858,110,2.906,0.0001,2672.80313695797,3613931.17714191
0.0255,0.0446,0.0858,110,2.906,0.00035,2662.71299443876,2521150.41960826
0.0255,0.0446,0.0858,110,3.264,0.0001,2539.45704619534,3613949.00224795
0.0255,0.0446,0.0858,110,3.264,0.00035,2530.07605169273,2521161.52798305
0.0255,0.0446,0.0858,110,3.665,0.0001,2375.13700469927,3613928.82040031
0.0255,0.0446,0.0858,110,3.665,0.00035,2365.16199454244,2521147.40036596
0.0257,0.0447,0.086,70,2.305,0.0001,3999.70745065794,3643126.26850681
0.0257,0.0447,0.086,70,2.305,0.00035,3983.45359250722,2541608.95986969
0.0257,0.0447,0.086,90,2.305,0.0001,3421.58543853098,3642945.08361005
0.0257,0.0447,0.086,90,2.305,0.00035,3408.95626357896,2541423.99000636
0.0257,0.0447,0.086,90,2.588,0.0001,3311.33321862958,3642869.53494865
0.0257,0.0447,0.086,90,2.588,0.00035,3299.52956128595,2541369.07020322
0.0257,0.0447,0.086,90,2.906,0.0001,3182.34805819513,3642863.48529659
