"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [kHz]","L_Leak [uH]","L_cm [mH]"
0.0247,0.0547,0.0954,70,2.588,100,2.60793364680898,1.90479406906118
0.0247,0.0547,0.0954,70,2.588,350,2.60151856376655,1.32888832733707
0.0247,0.0547,0.0954,70,2.906,100,2.53393826128637,1.90477730603491
0.0247,0.0547,0.0954,70,2.906,350,2.52827196113379,1.32887416417988
0.0247,0.0547,0.0954,90,2.588,100,2.24215757971036,1.90467293129395
0.0247,0.0547,0.0954,90,2.588,350,2.23661869717985,1.32876702707643
0.0247,0.0547,0.0954,90,2.906,100,2.17879348212547,1.90463823719516
0.0247,0.0547,0.0954,90,2.906,350,2.17406513901192,1.32874131960873
0.0247,0.0547,0.0954,90,3.264,100,2.10744387678203,1.90463597136084
0.0247,0.0547,0.0954,90,3.264,350,2.10332793470939,1.3287381543282
0.0247,0.0547,0.0954,90,3.665,100,2.02633349414609,1.90463037258249
0.0247,0.0547,0.0954,90,3.665,350,2.02261755474486,1.3287329331012
0.0255,0.0446,0.0858,70,2.305,100,2.60481800034336,2.31314215099917
0.0255,0.0446,0.0858,70,2.305,350,2.59591639211778,1.61375700989389
0.0255,0.0446,0.0858,90,2.305,100,nan,nan
0.0255,0.0446,0.0858,90,2.305,350,nan,nan
0.0255,0.0446,0.0858,90,2.588,100,2.17070001479964,2.31299800944097
0.0255,0.0446,0.0858,90,2.588,350,2.16399241322645,1.61361807387105
0.0255,0.0446,0.0858,90,2.906,100,2.09522988955741,2.31299470404572
0.0255,0.0446,0.0858,90,2.906,350,2.08920183767389,1.61361407606329
0.0257,0.0447,0.086,70,2.305,100,2.62327723190456,2.3315984458933
0.0257,0.0447,0.086,70,2.305,350,2.61432730591985,1.62663301772291
0.0257,0.0447,0.086,90,2.305,100,2.25526210247173,2.33147046796707
0.0257,0.0447,0.086,90,2.305,350,2.24777497732811,1.62650662214673
0.0257,0.0447,0.086,90,2.588,100,nan,nan
0.0257,0.0447,0.086,90,2.588,350,nan,nan
0.0257,0.0447,0.086,90,2.906,100,nan,nan
0.0257,0.0447,0.086,90,2.906,350,nan,nan
0.0286,0.0465,0.0673,90,2.588,100,nan,nan
0.0286,0.0465,0.0673,90,2.588,350,nan,nan
0.0296,0.075,0.1055,60,3.264,100,3.27916940974005,1.40051832828544
0.0296,0.075,0.1055,60,3.264,350,3.27426698727678,0.977134179127685
0.0296,0.075,0.1055,70,3.264,100,3.03551996906061,1.40042911822117
0.0296,0.075,0.1055,70,3.264,350,3.0312573906802,0.977045123482365
0.0296,0.075,0.1055,70,3.665,100,2.95823986155972,1.40042090789154
0.0296,0.075,0.1055,70,3.665,350,2.95442008871521,0.977036797562441
0.0296,0.075,0.1055,70,4.115,100,2.87148271517949,1.40042251974107
0.0296,0.075,0.1055,70,4.115,350,2.86811678519111,0.977035489780389
0.0296,0.075,0.1055,90,3.264,100,2.6090219369837,1.40028917240568
0.0296,0.075,0.1055,90,3.264,350,2.60531752648616,0.976905398414992
0.0296,0.075,0.1055,90,3.665,100,2.54369122118515,1.40028467270821
0.0296,0.075,0.1055,90,3.665,350,2.5405564042083,0.976900881776907
0.0296,0.075,0.1055,100,3.665,100,2.35513632604751,1.40024070383748
0.0296,0.075,0.1055,100,3.665,350,2.35205896310812,0.97685692287598
0.0303,0.07,0.1081,60,2.906,100,3.43977916272338,1.82575938467617
0.0303,0.07,0.1081,60,2.906,350,3.43380589264323,1.27379614144851
0.0303,0.07,0.1081,60,3.264,100,3.35363754234904,1.82570195080746
0.0303,0.07,0.1081,60,3.264,350,3.34836099928711,1.27375295865665
0.0303,0.07,0.1081,70,2.906,100,3.18053079431875,1.82561876348967
0.0303,0.07,0.1081,70,2.906,350,3.17505432974174,1.27366914389789
0.0303,0.07,0.1081,70,3.264,100,3.10255720333297,1.82560805733281
0.0303,0.07,0.1081,70,3.264,350,3.09782718634907,1.27365923397931
0.0303,0.07,0.1081,70,3.665,100,3.01803166795504,1.82562219425459
0.0303,0.07,0.1081,70,3.665,350,3.01409904960499,1.27366649182016
0.0303,0.07,0.1081,90,2.906,100,2.73399069667748,1.82550491537829
0.0303,0.07,0.1081,90,2.906,350,2.72946114862863,1.27354567594812
0.0303,0.07,0.1081,90,3.264,100,2.66872437113703,1.82546401655428
0.0303,0.07,0.1081,90,3.264,350,2.66489952089642,1.27351548362002
0.0303,0.07,0.1081,90,3.665,100,2.59504995627361,1.82546824240024
0.0303,0.07,0.1081,90,3.665,350,2.5917365643108,1.27351674449947
0.0303,0.07,0.1081,90,4.115,100,2.51334531779708,1.8254534742773
0.0303,0.07,0.1081,90,4.115,350,2.51056037653214,1.27350465144882
