"H [meter]","ID [meter]","insulator_angle [deg]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0125,0.0136,10,0.0279,110,1.15,0.00015,760.567805073377,2586787.9832033
0.0125,0.0136,10,0.0279,110,1.15,0.00035,750.023258909468,1585348.6185367
0.0125,0.0136,10,0.0279,110,1.15,0.00055,746.770410627142,1228317.16570899
0.0125,0.0136,10,0.0279,110,1.291,0.00015,714.368560807341,2586793.4256886
0.0125,0.0136,10,0.0279,110,1.291,0.00035,703.52850881062,1585351.48899469
0.0125,0.0136,10,0.0279,110,1.291,0.00055,700.183668492686,1228319.13474395
0.0125,0.0176,10,0.0328,90,1.291,0.00015,949.923240673017,2241108.92214013
0.0125,0.0176,10,0.0328,90,1.291,0.00035,942.043670292162,1373506.56169676
0.0125,0.0176,10,0.0328,90,1.291,0.00055,939.562106448722,1064190.47016222
0.0125,0.0176,10,0.0328,90,1.45,0.00015,904.566352343689,2241116.12710401
0.0125,0.0176,10,0.0328,90,1.45,0.00035,896.495143550416,1373510.17085494
0.0125,0.0176,10,0.0328,90,1.45,0.00055,894.035739757885,1064192.80733041
0.0125,0.0176,10,0.0328,110,1.291,0.00015,807.160767585111,2241084.75143693
0.0125,0.0176,10,0.0328,110,1.291,0.00035,800.024476197036,1373481.71083859
0.0125,0.0176,10,0.0328,110,1.291,0.00055,797.802444653331,1064165.36857517
0.0125,0.0176,10,0.0328,110,1.45,0.00015,767.165358960395,2241091.82292731
0.0125,0.0176,10,0.0328,110,1.45,0.00035,759.967928053846,1373485.54071576
0.0125,0.0176,10,0.0328,110,1.45,0.00055,757.815719497373,1064168.06422325
0.0125,0.0176,10,0.0328,110,1.628,0.00015,719.91823871229,2241097.14213766
0.0125,0.0176,10,0.0328,110,1.628,0.00035,712.067541569135,1373488.35046439
0.0125,0.0176,10,0.0328,110,1.628,0.00055,709.80220197973,1064169.99070758
0.0125,0.0176,15,0.0328,90,1.291,0.00015,1021.75229126754,2241113.52653472
0.0125,0.0176,15,0.0328,90,1.291,0.00035,1013.66462224571,1373509.49870491
0.0125,0.0176,15,0.0328,90,1.291,0.00055,1011.1390687189,1064192.80900788
0.0178,0.0175,10,0.0328,90,1.291,0.00015,1285.56141496327,3220543.1280668
0.0178,0.0175,10,0.0328,90,1.291,0.00035,1275.19186537602,1973768.22820109
0.0178,0.0175,10,0.0328,90,1.291,0.00055,1272.00790960382,1529270.19267796
0.0178,0.0175,10,0.0328,90,1.45,0.00015,1228.27673066999,3220549.83040131
0.0178,0.0175,10,0.0328,90,1.45,0.00035,1217.5962155786,1973770.9609112
0.0178,0.0175,10,0.0328,90,1.45,0.00055,1214.37630451336,1529271.50984523
0.0178,0.0175,10,0.0328,110,1.291,0.00015,1091.04581237922,3220508.68560169
0.0178,0.0175,10,0.0328,110,1.291,0.00035,1081.70245442049,1973733.89871924
0.0178,0.0175,10,0.0328,110,1.291,0.00055,1078.80055154942,1529235.88666114
0.0178,0.0175,10,0.0328,110,1.45,0.00015,1039.54533332801,3220517.4232794
0.0178,0.0175,10,0.0328,110,1.45,0.00035,1030.2601270693,1973738.52706266
0.0178,0.0175,10,0.0328,110,1.45,0.00055,1027.49887294134,1529239.07329107
0.0178,0.0175,10,0.0328,110,1.628,0.00015,978.670162241112,3220534.77844129
0.0178,0.0175,10,0.0328,110,1.628,0.00035,968.462378342531,1973748.6500646
0.0178,0.0175,10,0.0328,110,1.628,0.00055,965.548408910053,1529246.65396307
0.0178,0.0175,15,0.0328,90,1.291,0.00015,1356.55273423044,3220544.83611665
0.0178,0.0175,15,0.0328,90,1.291,0.00035,1345.99130371869,1973769.0672131
0.0178,0.0175,15,0.0328,90,1.291,0.00055,1342.71793520148,1529270.70859172
0.0182,0.0264,10,0.0483,70,1.628,0.00015,1693.5218200991,3166357.2906756
0.0182,0.0264,10,0.0483,70,1.628,0.00035,1685.7631453051,1940595.88396448
0.0182,0.0264,10,0.0483,70,1.628,0.00055,1683.53599621177,1503589.60343883
0.0182,0.0264,10,0.0483,90,1.628,0.00015,1455.07310697279,3166277.42659891
0.0182,0.0264,10,0.0483,90,1.628,0.00035,1448.94638354854,1940516.40407388
0.0182,0.0264,10,0.0483,90,1.628,0.00055,1447.19280974283,1503510.24280107
0.0182,0.0264,10,0.0483,90,1.828,0.00015,1402.40033429562,3166286.31687539
0.0182,0.0264,10,0.0483,90,1.828,0.00035,1396.47251179601,1940520.91791497
0.0182,0.0264,10,0.0483,90,1.828,0.00055,1394.87518431408,1503513.18826216
0.0182,0.0264,10,0.0483,90,2.053,0.00015,1341.14519472671,3166292.10580201
0.0182,0.0264,10,0.0483,90,2.053,0.00035,1335.11749082394,1940522.89396386
0.0182,0.0264,10,0.0483,90,2.053,0.00055,1333.59984783092,1503513.82147721
0.0182,0.0264,10,0.0483,110,1.628,0.00015,1241.09430555194,3166234.22738919
0.0182,0.0264,10,0.0483,110,1.628,0.00035,1235.3750348321,1940474.35155968
0.0182,0.0264,10,0.0483,110,1.628,0.00055,1233.74669102244,1503468.58277453
0.0182,0.0264,10,0.0483,110,1.828,0.00015,1193.22874267928,3166248.04503803
0.0182,0.0264,10,0.0483,110,1.828,0.00035,1187.74802005463,1940482.06487816
0.0182,0.0264,10,0.0483,110,1.828,0.00055,1186.281066568,1503474.13161797
0.0182,0.0264,10,0.0483,110,2.053,0.00015,1138.65736851258,3166253.9722783
0.0182,0.0264,10,0.0483,110,2.053,0.00035,1133.48841712179,1940484.99666825
0.0182,0.0264,10,0.0483,110,2.053,0.00055,1132.20261266676,1503475.9986685
0.0182,0.0264,10,0.0483,110,2.305,0.00015,1074.85837462341,3166258.77761057
0.0182,0.0264,10,0.0483,110,2.305,0.00035,1069.81202414669,1940487.26105702
0.0182,0.0264,10,0.0483,110,2.305,0.00055,1068.62892194159,1503477.3594014
0.0182,0.0264,10,0.0483,110,2.588,0.00015,996.856024699775,3166260.96160708
0.0182,0.0264,10,0.0483,110,2.588,0.00035,991.310871370249,1940488.10397542
0.0182,0.0264,10,0.0483,110,2.588,0.00055,990.074181335476,1503477.71380027
0.0182,0.0264,15,0.0483,110,1.628,0.00015,1330.90781588857,3166235.27472132
0.0182,0.0264,15,0.0483,110,1.628,0.00035,1324.8412350878,1940474.82089872
0.0182,0.0264,15,0.0483,110,1.628,0.00055,1323.08686175619,1503468.84238
0.0185,0.0225,10,0.0431,90,1.628,0.00015,1390.1094744476,3463243.96407635
0.0185,0.0225,10,0.0431,90,1.628,0.00035,1382.44735061335,2122513.31917526
0.0185,0.0225,10,0.0431,90,1.628,0.00055,1380.25009470015,1644518.38491103
0.0185,0.0225,10,0.0431,90,1.828,0.00015,1328.81511021583,3463249.83925146
0.0185,0.0225,10,0.0431,90,1.828,0.00035,1320.8256080578,2122515.30312356
0.0185,0.0225,10,0.0431,90,1.828,0.00055,1318.69357662374,1644518.99818488
0.0185,0.0225,10,0.0431,110,1.628,0.00015,1181.77907733079,3463200.69999506
0.0185,0.0225,10,0.0431,110,1.628,0.00035,1174.80585072933,2122472.00154738
0.0185,0.0225,10,0.0431,110,1.628,0.00055,1172.82973140533,1644477.74175499
0.0185,0.0225,10,0.0431,110,1.828,0.00015,1126.3041919866,3463216.52449133
0.0185,0.0225,10,0.0431,110,1.828,0.00035,1119.41379751083,2122480.8564012
0.0185,0.0225,10,0.0431,110,1.828,0.00055,1117.58499242243,1644484.13336601
0.0185,0.0225,10,0.0431,110,2.053,0.00015,1059.08182946289,3463224.07271728
0.0185,0.0225,10,0.0431,110,2.053,0.00035,1051.72656634275,2122484.93197702
0.0185,0.0225,10,0.0431,110,2.053,0.00055,1049.89166286835,1644486.97816211
